Size	   Bubble Sort	Selection Sort	Insertion Sort	The Fast Heap Sort
50	39837.86	23372.79	47729.125	44322.15
100	54581.406	20541.79	117182.0	20311.53
150	120618.8	37828.34	22434.14	33849.64
200	193293.08	63840.1	38336.023	39978.727
250	271125.53	83761.16	47383.496	35944.56
300	333052.16	94705.18	53271.49	39176.58
350	451994.12	126035.36	70540.82	46370.145
400	576173.2	156136.7	88243.24	53883.816
450	704186.0	193591.69	108802.26	59428.355
500	888596.06	234069.6	134216.69	69085.914
550	1061355.1	277137.5	160456.6	76224.1
600	1259799.8	327193.97	186218.77	83430.414
650	1499363.2	383481.9	221790.22	91910.4
700	1720118.1	431279.3	250332.02	98240.06
750	1946059.2	491484.12	289805.16	107840.06
800	2213923.0	546680.06	324516.7	114790.47
850	2504035.5	614607.2	367411.53	123852.9
900	2819781.0	688079.25	405116.03	131767.64
950	3078875.2	749131.25	448040.8	138536.69
1000	3437990.8	841574.75	499264.3	144542.02
